Proverbs,Explanation
الذي ما يِخَوِّلْ من راس المسب ما يِخَوِّلْ من جحره,يِخَوِّلْ – يقتصد. المسب – وعاء المسافرين قديما يشبه شنطة الظهر حاليا، في الريف المسب أيضا يطلق على اله الحراثة التقليدية التي يتعاون في استخدامها شخصين لجرف التربة. جحر المسب – أي قاع المسب. يضرب هذا المثل في الشخص المبذر الذي لا يستطيع الاقتصاد في صرفته. و المثل بمعنى من لا يستطيع الاقتصاد و مسبه مليان بالزاد لن يستطع التوفير و المسب على وشك ان يكون فارغا.
من أحب الجمل أحب جَمَّالِه,يأتي هذا المثل بمعنى أنه عندما تحب شخصا ما فإنك تحبه بمميزاته وعيوبه. لا يوجد انتقائية في الحب.
لا تفرح بالورث يا موروث.,يقال لمن يفرح بشيء سيتركه لغيره في النهاية.
جرذي ما وسع داخل الخباره دخل معه زربي.,يضرب المثل لمن هو في مكان ضيق وأحضر معه أعوانا. جرذي: هو الفأر، الخبارة: حفرة صغيرة يبيت فيها، زري: نوع من أغصان الأشجار الشوكية.
مال الحرام للحرام,هذا المثل يؤكد على فكرة أن الثروة أو الممتلكات المكتسبة بوسائل غير أخلاقية و غير مشروعة – المال الحرام – لن توفر منفعة دائمة للشخص الذي يحصل عليها و إنما تؤدي إلى نتائج سلبية حيث تضيع في نهاية المطاف أو يمكن أن تلحق الضرر بالفرد الذي حصل عليها و على من يستفيد منها من أهله. أيضا المثل يأتي بمثابة تذكير أخلاقي يؤكد على أهمية الصدق والنزاهة و كسب المال الحلال الخالي من أي شبهة أو ظلم.
كما تميت غلقت”,تقول القصة وراء هذه المقولة أن خطيب جمعة أطال في الخطبة فالناس ملوا و خرجوا من الجامع واحد بعد واحد. فآخر واحد كان قيِّم الجامع و كان منيدر منكت قال للخطيب، و هو جالس مستمر في الخطبة، و ماعد في حدا في الجامع “كما تميت غلقت” أي متى ما كملت الخطبة لا تنسى ما تغلق الجامع.
جوعة نسر,يضرب في وصف حالة الجوع القصوى حيث يتم تشبيه هذا الجوع بجوع النسر عندما يلقى حيوان ميت ينهشه بشره. عكس المثل القائل شابع شبعة كلب.
المليح تعرف بأدرامها,بمعنى أن الفتاة يُعرف جمالها من عقبيها كما يعرف قبحها كذلك منهما
ساير الحمار يوديك السندأس.,للدلالة عل الخطأ في معاشرة الأشرار. السنداس مكان الفضلات.
باب النجار مكسور,ويعني هذا المثل أن الأشخاص الذين لديهم مهارة أو خبرة معينة في مجال معين يميلون إلى إهمال وضعهم الشخصي في ذلك المجال. على سبيل المثال، قد يكون لدى الميكانيكي سيارة مدقدقة و لا تعمل بشكل جيد، أو قد يكون باب النجار مخلوع أو مكسور .
جوهرة في حلق كلب,يضرب هذا المثل في الشخص الذي يملك شيء غالي و نفيس لكن لا يعرف و لا يقدر قيمته.
جني عشق عضروط,عضروط: انثى الجني.يضرب في أن الشخص يأتلف مع من يشاكله في الطباع و الصفات.
إذا صلحت النية صلح العمل,بمعنى متى ما صلحت نية الشخص في عمله سيكلل عمله بالتوفيق و النجاح. ويعني أيضا أن وجود النية أو الرغبة في فعل شيء له قيمة أخلاقية مساوية للقيام بالفعل ذاته. أيضا هذا المثل يؤكد على أهمية نوايا الفرد ويشير إلى أن الفكرة وراء الفعل يمكن أن تكون بنفس أهمية الفعل نفسه.
حجرة الفسل كبره.,يضرب لمن تصرف تصرفا يدل عل جهله. الفسل: الخائف، كبرة: كبيرة.
إذا غضب الله على الذَّرَة أريشت,الذَّرَة – النملة.أريشت – نبت لها ريش.يضرب هذا المثل المجازي تحذيرا من الغرور و تكلٌّف المرء فعل ما ليس من طبعه.
بيعمر قصور في الهواء,"يقال هذا المثل للشخص الذي يبيع الأوهام للناس، يسرد لهم أحلاماً وهميّة ويبني آمالهم على أساس خيالي. حيث يقوم بإنشاء وهم يجعل الناس يعيشون في عالم من الخيال، حيث يتم إقناعهم بوجود أمور غير حقيقية أو تحقق أمنيات خيالية. يمكن أن يكون ذلك نتيجة لتلاعبه بالمعلومات أو استخدامه لتكتيكات التلاعب النفسي لتحقيق أهدافه. في النهاية، تكون قصورهم مبنية في الهواء، فهي تظهر جميلة ومليئة بالأماني، ولكنها في الواقع غير ملموسة وقد تتلاشى بسرعة أمام واقع الحياة. أمثال مشابهة: الترجمة بالإنجليزية . , . , . ’ . , ; , , ."
يا لعن أبو القِّل خَلَّى كل شاجع ذليل,لعن – لعنة الله أبو القِّل – كناية عن ضيق ذات اليد شاجع – شجاع يضرب المثل الشخص العزيز الذي تجعله الظروف وقلة الحيلة ذليلاً للناس.
من شقى لقى، ومن رقد تمنى.,يضرب هذا المثل عند نجاح الإنسان بعد اجتهاده، خلافًا للعاجز والكسلان الذي يكتفي بالأماني.
إذا جالك من العز قبضة، خذلك من الذل ثنتين,معنى المثل أنه إذا ابتسم لك الدهر ، وأنعم عليك بنعمه ، وأسبغ عليك من فضله ، فلا تنخدع به ، ولا تغتر بما أعطاك ، فإنه قد يعطيك من شروره ومحنه وبلاءه أضعاف ما أعطاك من خيره ورخاءه وسعادته . ويضرب هذا المثل في أن العاقل ينبغي ألا ينخدع بإقبال الدنيا عليه ، وأن يتوقع ما قد يحدث له من تقلباتها ومصائبها ، وأن يشكر الله على ما أعطاه ، ويستعد لما قد يبتليه به.
قلايتي و إلا الديك …,القلا : نوع من أنواع الحبوب وقصة المثل كان هناك شخص ادعى على جاره ان ديك الجار ياكل القلا الخاص به فقام الجار بالاعتذار واعطاه اضعاف ما اكله الديك من قلاّ .. من باب الذوق وحسن الجوار .. لكن صاحب القلا رفض و قال قلايتي والا الديك .. يعني اشترى حقي القلا الذي اكلهن الديك نفسهن مش بدلهن واذا ما تقدر ترجعهم تعطينى الديك ويضرب هذا المثل للمتعنت في رأيه…
ما ينفعك ما مع أخوك ولا سراجه يضي لك,يؤكد هذا المثل على أهمية الاعتماد على الذات ويشير إلى أن الاعتماد على الآخرين قد لا يؤدي دائمًا إلى النتائج المرجوة. أيضا هذا المثل يشجع الأفراد على تحمل مسؤولية حياتهم و خياراتهم في هذه الحياة.
جني عشق عضروط.,يضرب لتوافق القبيح مع القبيح أو السيئ مع السيئ.
اللي ما تعرف تبخر تحرق ثوبه.,يضرب للمرأة التي تعمل شيئًا وهي لا تجيده فتؤذي نفسها.
ملطام شوتري,الشوتري: سمسار الحمير ملطام: الصفعة والمثل بمعنى أن سمسار الحمار يصفعه بقوة و بأسلوب يجعل الحمار يعدو سريعاً
العصا لمن عصا.,يضرب لمواجهة العاصي باستخدام العصا والقوة ضده.
القبقبه للولي، والفائده للقيوم.,يقال هذا المثل عندما يأخذ الفائدة شخص معين بالاسم والسمعة، ولكن الحقيقة تذهب لشخص آخر.
غلاق الميه يا ناراه.,لمن لم يبق له شيء ليخسره. الميه: المئة.
يا فصيح، لمن تصيح.,يضرب هذا المثل عندما ينبه الإنسان شخصًا معينًا لأمر مهم، لكنه لا يستجيب له.
خضوع عند الحاجه رجوله.,يضرب المثل في الاستسلام عند الضرورة. خضوع: الاستسلام للشيء، عند الحاجة: عند الضرورة، رجولة: صفة القوة والشجاعة.
من دور لشي حصله.,يقال للشخص الذي يبحث عن المتاعب. دور: بحث، لشي: لأي شيء، حصله: وجده.
سبوله بدون حب.,يضرب للشخص فارغ العقل.
السلا درج عجوز.,يضرب لمن تذهب إلى أماكن الأعراس والحفلات على كبر سنها. السلا: الفرح، درج: أطاح بها وأسقطها؛ لأنها كبيرة ومع ذلك تتحمل المشاق.
من مرع نفسه يداوى بزرحه.,يضرب لمن يمرض نفسه بنفسه. مرع: أصابه بالعين. الزرج: المخلفات التي يخرجها جهاز الإخراج عند الإنسان.
عين في المقبرة و عين بتدور مرة,من أمثال مدينة شهارة . و يضرب هذا المثل في الشخص يطيل النظر إلى النساء ،ويأتي هذا المثل في قولهم :”عينه طويله..
من شقي لقي ومن رقد تمنى.,يضرب لمن يشقى ويتعب فيجني ثمرة تعبه بينما الكسول يتمنى أن يجد مالًا فلا يجده.
مع أخوتي مخطي ولا وحدي مصيب.,يقال للشخص الذي يفضل الجماعة حتى لو كانوا على خطأ.
مزهـنق مثل دور حُبَيْش,مزهنق مزخرف. دور – بيوت حُبَيْش – مديرية من مديريات محافظة إب. يشير هذا المثل إلى أن بعض الأشياء قد تبدوا لك جذابة و أنيقة من الخارج، في حين أنها لا تمتلك أي قيمة حقيقية تذكر من الداخل. على نفس القياس، قد تلاحظ أن بعض الأشخاص في محيطك يركزون بشكل مفرط على المظهر الخارجي السطحية ظنا منهم أنها أهم شيء و يتجاهلون الجوهر، في حين أنهم من الداخل قد لا يساوون بصلة. لذلك هذا المثل يحفزنا بشكل غير مباشر على التركيز على تطوير الجوهر و يحذرنا من الانجرار وراء السطحية.
محد يرهن مكعسه ليلة عرسه.,يضرب للرجل الذي يكون في ليلة عرسه ويطلبون منه رهن زينته. محد: لا أحد من الناس. المكعس: ما تضعه المرأة من زينة الشقر.
سر مع الكذاب لا باب الدار.,يضرب للذي تصدقه وتوافقه بغية أن يتبين لك أمره.
إقنع بالقليل يأتيك الكثير,يقال هذا المثل للتأكيد على أهمية القناعة و كيف أن القناعة بالقليل قد تكون سببا للحصول على الكثير. و كما تقول المقولة المشهورة القناعة كنز لا يفنى. في حين أن هذا المثل يحمل حكمة كبيرة، فمن المهم توخي الحذر في تفسيره. لأنه قد يسيء البعض فهم ذلك كمبرر لعدم التطوير من قدراتهم، أو إهمال تعليمهم، أو الفشل في السعي لتحسين حياتهم.
من شاهدك يا ثُعَيْلْ؟ قال: سُبْلَتِيْ,ثُعَيْلْ تصغير كلمة ثعل بمعنى ثعلب.سُبْلَة – ذيل.يضرب هذا المثل في الرجل المحتال، حيث يجد من يدعم حجته و يقف معه من أعوانه و أتباعه. يمكن أن يشير هذا المثل إلى أن الأشخاص ذوي التفكير المتشابه يميلون إلى معاونة بعضهم البعض.
ومن تعظم هلك,و المعنى يضرب في المغرور تكون نهايته المذلة والاحتقار
العشماء بتحطب من باب الصعد.,يضرب للكسول الذي يحاول أن يجد حاجته بالقرب منه ولا يسعى إليها. العشاء: المرأة الكسولة المهملة، باب الصعد: بجانب الصعد وهو الأحجار التي يوضع عليها إناء الطبخ أو مكان الطبخ على الأحجار في المطبخ القديم.
ويل حاذق أرحب من أخبل نهم,مثل ما نعرف أرحب ونهم مدريتان متجاورتان نهم من جهة مأرب و أرحب من جهة عمران و كلاهما يقعان في الشمال الشرقي من محافظة صنعاء. يروى في أصل المثل أن رجلين أحدهما من أرحب والآخر من نهم خرجا من صنعاء عائدين الى منطقتهما، وكان مع صاحب أرحب حمار قد وضع عليه أشياءه التي اشتراها من صنعاء ، وجرى بينهما الحديث في شؤون الحياة حتى تناول موضوع ما اشتراه صاحب أرحب واتفقا على أن يأخذ صاحب نهم الحمار بما عليه إذا سلك الحمار الطريق اليمنى وهي طريق نهم ، وإذا سلك الطريق اليُسرى وهي طريق أرحب فصاحبه أولى به . فلما إقتربا من مفرق الطريق الذي بين أرحب ونهم سأل صاحب نهم صاحب أرحب كيف صوت قرع الطبول عندهم ، فقال : قِرِم قِرِم قِرْم ثم سأل صاحب أرحب صاحب نهم نفس السؤال فأجاب مِنْ مِنْ مِن مِنْ مِنمِنٌ فلما سمع الحمار من من – وهي كلمة تقال للحمار ليتجه لليمين سلك طريق نهم فكان الحمار من نصيب صاحب نهم.
افتح بابك واشتهر والا اقفله واستــتر,يشير هذا المثل إلى أنه إذا قررت أن تضيف ناس و ترحب بضيوف في بيتك، فتأكد من قدرتك على تلبية احتياجاتهم بشكل كامل وسخاء لتجنب أي انتقاد و حتى لا تلام على أي تقصير. أما إذا كنت غير قادر على تلبية احتياجات ضيوفك من الأفضل أن تبقي أبواب بيتك مغلقة، وبالتالي تتجنب أي لوم أو انتقاد على التقصير. و لن يلومك أحد على عدم استقبال الضيوف.
الورق عقارب الدهر,الورق كناية عن المستندات.يساق هذا المثل في الحرص على الحفاظ على المستندات و الوثائق الهامة أمنة ومنظمة تحسبًا لأي تغييرات غير متوقعة في الحياة. بمعنى أخر أن مستند أو وثيقة واحدة يمكن أن توفر الكثير من الوقت والمتاعب في المستقبل. المثل أيضا يذكرنا بأن التدابير الوقائية غالبًا ما تكون أكثر فعالية وأقل تكلفة من التعامل مع عواقب الإهمال.
ما يزاوج بالأرض إلا وقد شاكل في السماء.,يضرب للنفوس التي تأتلف مع أشباهها.
رضا الناس غاية لا تدرك,يضرب هذا المثل في استحالة إرضاء جميع الناس. لذلك لا تجعل إرضاء الناس غاية من الاساس، من رضي بك و بإيجابياتك و بسلبياتك فمرحبا به و من ما رضيش يشرب من ماء البحر.
حر يا ثور كله على قرئك.,يضرب للشخص الذي يتكاسل عن أداء الأعمال وهو ملزم بإنجازها.
من أمنك لا تخونه ولو كان على قطع رأسك,يضرب هذا المثل في الحث على أداء الأمانة، والوفاء بها وعدم خيانة من وثق بك مهما ترتب عليها من مشقة
اللي ميوصلش للعنب، يقله حامض.,يقال هذا المثل لإنسان أخفق في تحقيق هدف معين، فراح يعيب ويقدح في هذا الهدف بعد فشله.
اللقمه بحلق اليتيم تكبر.,يقال هذا المثل عندما يحسد الناس من أصابه خير ويرونه غير جدير به.
لا تجلس حيث ما يقولوا لك قم.,يضرب لمن يجلس في مكان فوق مرتبته، أو منصب غير مؤهل له.
جراده لا خشم عرداني.,يضرب المثل حين يأي الشيء في غير مكانه. جرادة: واحدة الجراد، لا: بمعنى إلى، خشم: فم، عرداي: نوع من الحيوانات الصغيرة تشبه الضب ويعرف بكبر رأسه.
الأصول ما تخيب,يؤكد هذا المثل على أهمية الحفاظ على السمعة الطيبة و النزاهة التي تحظى بتقدير كبير في العائلات الكريمة و الأصيلة. حيث إنهم يسعون جاهدين للحفاظ على أصالتهم و سمعتهم الكريمة و الطيبة وتجنب أي أعمال قد تشوهها.
في بير من حلبة,"في بير من حلبة يقال هذا التعبير لوصف الشخص الذي يقع في ورطة ويجد نفسه في موقف صعب لا يستطيع الخروج منه بسهولة، كما لو كان في بئر ضيق وعميق مليئة بالحلبة المعرفة بطبيعتها اللزجة. هذا التعبير يستخدم عادة للتأكيد على صعوبة الموقف وتعقيد الأمور. بالإنجليزية , . ."
قَرِّبْ القرود بالعهود,القرود كناية عن الأعداء أو المعارضينيقال هذا المثل في التسويغ لاستعمال العهود من أجل استمالة المخالفين أو الأعداء من أجل الانتقام منهم.
جمل محمل زبيب ومأكله سنف,سنف – شجرة شوكيه يضرب هذا المثل لمن يُحرم ثمار عمله و لا يستفيد منها. أيضا يضرب في الشخص الذي يملك أشياء ثمينة و غالية لكن لا يدرك قيمة ما عنده.
سارق و مبهرر,مبهرر: ناظر بنظرة غضب.يضرب هذا المثل في من تجتمع فيه الرذيلة و الطبع الزفت و ذلك لدفع التهمة عليه.
لما شبع صالح قال مالح.,يضرب للرجل الذي يأكل الطعام وبعد الشبع يعيب الطعام.
ثربة بين كلاب,"ثربة بين كلاب يضرب هذا المثل عندما يكون هناك شيء ذو قيمة كبيرة في يد شخص لا يقدره أو لا يعرف قيمته. يمكن تطبيقه على العديد من السياقات، سواء كانت مادية مثل الجوهرة الثمينة في يد الشخص الذي لا يعرف قيمتها أو غير مادية مثل الفرصة أو الموهبة التي لا يقدرها الشخص. يهدف المثل إلى تذكيرنا بأننا يجب أن نقدر الأشياء الثمينة في حياتنا وأن نعرف قيمتها. . . , . ."
عز القبيلي بلاده، ولو تجرع وباها,تجرع – شرب رشفة برشفة وباها – بلاها و وباءها أي مرضها يأتي هذا المثل بمعنى أنه بغض النظر عن الصعوبات أو المشاكل التي قد يواجها الشخص في بلده ، إلا أن عزته و كرامته في بقاءه فيها.
ما مليح الـا وحُمَّا,مليح – حسن حُمَّا – أسفا عليه بمعنى أن كل جميل لا يخلو من عيوب.
يا كيل من رأس أمسب لاما تصل لا قاعته.,يقال في الإسراف في الأمور. أمسب: وسط، قاعته: جلد الماشية.
بدنا صيت ما بدنا مكسب,"بدنا صيت ما بدنا مكسب يضرب هذا المثل لمن يؤثر الشهرة على المكاسب المالية. أيضا يؤكد هذا المثل على أهمية الصيت في تحقيق مكاسب على الأمد الطويل. بالإنجليزية , . . , . , ."
من قعَّى لِقْفَه دخلين الذبان,قعَّى – فتح فمه لِقْفَ – فم الذبان – الذباب هذا المثل يأتي بمعنى أنه إذا كنت تتحدث كثيرا أو لا تتجنب المحادثات الغير الضرورية، فمن المحتمل أن تقع في مشاكل أو سوء فهم. لذلك هذا المثل يركز على أهمية التزام الصمت و اتخاذ مبدا “خير الكلام ما قل و دل”.
اللي ميرضابوش مظفر، يرضا به مكثل.,يقال هذا المثل عندما يُعرض على المرء أمر فيرفضه، ثم يقبل أمرًا أسوأ منه.
من تزوج من غير جنسه ظلم نفسه,يأتي هذا المثل بمعنى أن من تزوج من فتاة ليست من مستواه الاقتصادي و الاجتماعي فكأنما ظلم نفسه. بمعنى أنه إذا تزوج من فتاه فقيرة و هو كان ميسور فليس من المستبعد أن يحتقرها و يعايرها بفقرها و لو بطرق غير مباشرة. و في المقابل إذا تزوج من فتاة أغنى منه فليس من المستبعد أن تتعالى عليه.
افتح دكانك وافتخر، وإلا غلقه واستتر.,يضرب لمن يعمل عملا يكون على مستوى المسؤولية وإلا فلا داعي للتفاخر.
جمل يعصر، وجمل يأكل عصار.,يضرب هذا المثل عندما يجتهد شخص ويبذل جهداً في شيء معين، فيأتي آخر ويقطف ثمرة جهده.
قايس قبل ما تقطع.,يضرب للتخطيط للأمور قبل البت فيها.
دق الحديد وهو حامي,يضرب هذا المثل في إستعجال عمل بعض الأشياء ما دامت الظروف مناسبة، تماما كضرب الحديد و هو حامي حيث هذا الظرف يساعد على تشكيل الحديد بسهولة. و المثل يأتي كنصيحة يُفهم على الشكل التالي : تصرف الآن لأن الوضع مناسب.
شعره من ذنب الكلب فائده.,يضرب للحصول على القليل من البخيل.
يموت البَخيل في خِرْقَه,خرقه – قطعة ثوب ممزقة.كثيرا ما يتم استخدم هذا المثل لوصف الشخص البخيل. حيث أنه في بعض الأحيان على الرغم من ثروة البخيل الكبيرة، إلا أنه لا يجد أي راحة أو متعة في حياته، لدرجة أنه يمكن أن يموت وهو مرتدي ملابس ممزقة خرق. لكن خير البخيل لا يظهر الا بعد وفاته، لأن الأموال التي لم ينفقها خلال حياته تترك للآخرين.
نهاب وهاب,مثل مركب من كلمتين متضادتين ويضرب المثل على من ينهب حقوق ناس وينفقها على ناس آخرين
شهر مالك فيه نفاعة لا تحسب أيامه.,يضرب في الأمور التي ليس فيها فائدة. نفاعة: فائدة.
لا تقول للجمل دور، وعينه أكبر من عينك.,يقال هذا المثل في وجه شخص يرشد من هو أكثر منه خبرة بالحياة.
إذا يدك تحت الحجر شلها بالبصر,إذا يدك تحت الحجر شلها بالبصر بمعنى إذا وقعت في محنة فحاول تنسحب منها برفق و بصر حتى لا تتضاعف عليك المصيبة. .
يا داخل جحر الحمار عد شيء فساح للمشايخ يدخلوا,يا داخل جحر الحمار عد شيء فساح للمشايخ يدخلواتعود قصة المثل إلى الشيخ علي عبد الله بن أحمد صلاح شيخ خبان حيث يروى أن هذا المثل كان جوابه على سؤال رجل رآه وهو يُدَخّن البوری المداعة عند باب دار الامام يحيى بصنعاء فقد سأله الرجل عما يُخبره البوري فقال يا داخل جحر الحمار عد شيء فساح للمشايخ يدخلوا. متهكما بالحال التي وصل اليها المشايخ في عهد الامام يحيى بن حميد الدين من الاهمال والمذلة بعد أن كان الإمام يتلطف بهم ويثير فيهم العزة والكرامة ليناصروه على العثمانيين فلما استغنى عنهم وخلا له الجو أخذ يذلهم ويؤذيهم ويكسر شوكتهم.
سلام يجرّ سلام ، يجرّ دُبّا يجر شام,يجرّ : يستدعي .. و أصل المثل أنه كان هناك مزارع لا يرد السلام على أي أحد يمرّ من جانبه فسأله ابنه : ليش يابه ما ترد السلام على الناس ؟ فأجاب : سلام يجرّ كلام ويجر دبا ويجر شام بمعنى أن رد السلام سيفتح مجال للناس يتكلموا معه وبالتالي يطلبوا منه دُبّا وذرة شاميه
افترطت المسبحة,يقال هذا التعبير في وصف تفرق الأخوة أو الاصحاب و تشتت شملهم.
كل زبيبه في طيزه عود.,يضرب للرجل الذي يشكو إلى الآخرين همه بينما الآخرون لديهم هموم أيضًا. طيزه: مؤخرته.
ماشي طبل قال طبلين.,لمن لم يجد القليل وأراد الكثير.
لامن حبك زرطك ولا من كرهك قرطك.,للدلالة عل التخفيف من الاثنين وعواقبها. الزرط بمعنى هضم الشيء دون إعال الأسنان، والقرط عكسه.
طر يا طير وحبلك بيدي.,للدلالة عل حقيقة الرجوع إلى نفس المصدر.
لا قدك في الملح دقق.,يقال لمن بدأ في أمر فينبغي عليه أن يتقنه.
حمار تركب عليه ولا جمل يهدر عليك.,يضرب لمن يعمل عملا مع امتلاكه الحرية في العمل. يهدر: لعاب من أفواه الجمال يصدر عنها فتصير مسعورة لا يمكن السيطرة عليها.
بيته مكه وأنا سعيد اليهودي.,يقال هذا المثل عند قطع الصلة بين شخص وآخر، بحيث يمنع نفسه من دخول بيته أو اللقاء به.
من رضي بشنق نفسه شليت برجله,بمعنى من أراد لنفسه الهلاك فعليك بمساعدته
وا نمر باب بيتك وا ثعل باب بيوت الناس.,يضرب للجبان الذي يظهر الشجاعة في بلده وإذا خرج منها جبن. الثعل: الثعلب.
تنزل فراتت,الضمير في ” تنزل ” عائد على القمر والفراتت هي القطع المتناثرة . أصل المثل أن رجلاً حضر صلاة كسوف القمر ..فطالت الصلاة ، وضاق الرجل وخرج من الصف وقال تنزل فراتت أي ليحترق القمر أو يتساقط قطعاً متناثرة ..فذلك أهون عنده من تطويل الإمام للصلاة .
دعوة العبد بتاوي ركبه.,يضرب في الذي يدعو على أهله فإنه أول من يتضرر. بتاوي: تعود عليه، من أوى أي عاد.
قليل دائم ولا كثير منقطع.,يضرب به للصبر والقناعة بالقليل.
ما سيل إلا من جبل.,يضرب في أن الشيء العظيم لا يأتي إلا من عظيم.
من شبق السانه خرجوا بنيه عمي.,يضرب لمن يتعجل في الأمور فيفسدها. الشبق: التلهف والعجلة. العسانة: القطة.
حيث ما ألصه باته.,يقال للشخص الذي لا يتحرز من المبيت في أي مكان. ألصه: هى ألصت بمعنى تأخرت. باته: باتت، أمست.
رسول الذري.,المعنى أنه أرسل في مهمة ولم يرجع إلا بعد فوات الأوان. الذري: البذور، والمعنى أنه أرسل لإحضار البذور فلم يرجع إلا بعد الحصاد.
يد الفارغ من النار,الفارغ – العاطل عن العمل يؤكد هذا المثل على فكرة أنه عندما لا يشغل الأنسان نفسه بأي شيء يفيده، غالبًا ما ينتهي به الأمر إلى عمل أشياء سيئة أو الانخراط في أعمال لا ينبغي عليه عملها. لذلك، هذا المثل يعتبر تذكير لنا بأن نبقى منشغلين دائما بالأنشطة المفيدة والهادفة التي تنفعنا في مستقبلنا و تنفعنا لتجنب الوقوع في فخ إدمان العادات السيئة التي تم تشبيهها ضمنيا في هذا المثل بالأعمال التي تؤدي الى النار.
لا ماتت الطبينة خلت عروق استها,لا ماتت الطبينة خلت عروق استها تقوله المرأة لأولاد ضرتها نكاية فيهم و بغضا في أمهم المتوفاة.
جوهرة في يد فحام,يضرب هذا المثل في الشخص الذي يملك شيء غالي و نفيس لكن لا يعرف و لا يقدر قيمته.
لحس الكرسوح.,كناية عن فشل المخاطب في أمر ما.
